freq,X_1600us_loaded_loosemotor_7,Y_1600us_loaded_loosemotor_7,Z_1600us_loaded_loosemotor_7
0,4.8761e-16,1.2557e-16,3.0114e-15
0.97656,0.017757,0.020918,0.030086
1.9531,0.0094004,0.0095338,0.0043533
2.9297,0.018626,0.011971,0.01093
3.9063,0.011573,0.027462,0.028482
4.8828,0.0074808,0.0064084,0.028485
5.8594,0.0092091,0.0039295,0.017768
6.8359,0.0078473,0.015157,0.019886
7.8125,0.014176,0.013412,0.023978
8.7891,0.0044344,0.016731,0.0074196
9.7656,0.002858,0.0055759,0.0043892
10.742,0.009643,0.0079287,0.023668
11.719,0.013886,0.0051378,0.027712
12.695,0.0067005,0.0060384,0.027418
13.672,0.0040976,0.01348,0.013171
14.648,0.011468,0.013139,0.0050165
15.625,0.0066923,0.0094841,0.0051856
16.602,0.014718,0.012811,0.0067566
17.578,0.0016919,0.0038895,0.010081
18.555,0.0095808,0.0098803,0.012501
19.531,0.0083182,0.011656,0.0056778
20.508,0.0035252,0.0083181,0.010827
21.484,0.0025172,0.0042174,0.014147
22.461,0.0075973,0.011425,0.0025491
23.438,0.0096178,0.0070068,0.0032531
24.414,0.014118,0.0018731,0.010993
25.391,0.01143,0.0077346,0.01064
26.367,0.0035957,0.0088796,0.0092173
27.344,0.0030062,0.007058,0.0031974
28.32,0.0058386,0.0068876,0.0058757
29.297,0.0090723,0.012148,0.010404
30.273,0.0070757,0.0061811,0.014503
31.25,0.0059695,0.019702,0.0058636
32.227,0.0043519,0.010599,0.0047106
33.203,0.0060617,0.0060345,0.0070372
34.18,0.0031147,0.0025616,0.0051276
35.156,0.0046973,0.011109,0.0055771
36.133,0.0093114,0.013069,0.0060701
37.109,0.0099857,0.0018382,0.008495
38.086,0.0061269,0.013901,0.010821
39.063,0.0056332,0.019023,0.0043669
40.039,0.0038797,0.0099644,0.0083418
41.016,0.0088913,0.025573,0.0059153
41.992,0.0021003,0.0048025,0.0030728
42.969,0.0044032,0.023259,0.012155
43.945,0.0066595,0.015502,0.0028101
44.922,0.006752,0.012968,0.0088623
45.898,0.0086324,0.0092069,0.0047975
46.875,0.0048182,0.0063039,0.0038927
47.852,0.0012109,0.016055,0.002231
48.828,0.0027118,0.0063676,0.0098808
49.805,0.0078439,0.0054337,0.0064865
50.781,0.0075584,0.0058349,0.0045449
51.758,0.0055732,0.0072524,0.004968
52.734,0.010872,0.0014961,0.0045178
53.711,0.0066584,0.0044339,0.0066443
54.688,0.0020837,0.0035423,0.0036363
55.664,0.0078583,0.0034266,0.012173
56.641,0.0043222,0.0023169,0.0052287
57.617,0.0041198,0.001123,0.011157
58.594,0.0045241,0.013072,0.0027322
59.57,0.00066926,0.00297,0.010777
60.547,0.0029601,0.0043218,0.0056088
61.523,0.0039466,0.009778,0.009942
62.5,0.0025554,0.011789,0.0024046
63.477,0.0055156,0.015199,0.012531
64.453,0.0058655,0.0056701,0.008425
65.43,0.011261,0.0019924,0.010274
66.406,0.010016,0.010965,0.01035
67.383,0.016082,0.0077849,0.017217
68.359,0.0096943,0.012079,0.013555
69.336,0.0031453,0.015723,0.01312
70.313,0.014392,0.022645,0.035897
71.289,0.007,0.030748,0.025789
72.266,0.030054,0.03913,0.042777
73.242,0.018302,0.05722,0.091674
74.219,0.080706,0.13552,0.13637
75.195,0.012065,0.014123,0.029885
76.172,0.0097018,0.022137,0.034294
77.148,0.0076714,0.014247,0.021378
78.125,0.0012489,0.019522,0.011708
79.102,0.0063529,0.0083632,0.022817
80.078,0.011623,0.011161,0.021199
81.055,0.0074053,0.0025382,0.0096995
82.031,0.0036645,0.011577,0.003044
83.008,0.0082161,0.0057886,0.017329
83.984,0.0041419,0.0053226,0.0041497
84.961,0.0013041,0.0066694,0.010626
85.938,0.010834,0.0099363,0.010373
86.914,0.0016389,0.007809,0.0027977
87.891,0.00061487,0.002227,0.0047066
88.867,0.0014579,0.010547,0.0081883
89.844,0.0039626,0.00073694,0.0026057
90.82,0.0065352,0.0061743,0.0073259
91.797,0.007391,0.0069443,0.0017176
92.773,0.0055941,0.00336,0.0066782
93.75,0.0033686,0.0053753,0.0049607
94.727,0.0011662,0.0025571,0.0057439
95.703,0.0056403,0.006899,0.0040843
96.68,0.0043235,0.0040286,0.0049418
97.656,0.0033884,0.0040157,0.010721
98.633,0.0040041,0.0099656,0.004858
99.609,0.0028693,0.0032279,0.010652
100.59,0.0035115,0.002472,0.0042653
101.56,0.0032678,0.0045561,0.0011198
102.54,0.0023565,0.0061152,0.0012902
103.52,0.0037419,0.0034702,0.007014
104.49,0.0020272,0.005337,0.0030472
105.47,0.0019767,0.0034988,0.0054195
106.45,0.0037392,0.005249,0.0016565
107.42,0.0037246,0.0041314,0.005199
108.4,0.0030724,0.0023684,0.0031287
109.38,0.0038182,0.005287,0.0053489
110.35,0.0026035,0.0088357,0.0030034
111.33,0.003051,0.0094694,0.0029991
112.3,0.0034367,0.0056426,0.0066856
113.28,0.0017804,0.0070213,0.0032289
114.26,0.0047092,0.0047254,0.0083034
115.23,0.0039994,0.0025759,0.0073982
116.21,0.0026016,0.0075115,0.0034235
117.19,0.0040985,0.0036834,0.0049804
118.16,0.0017372,0.0018285,0.0089822
119.14,0.0042246,0.0083372,0.0060634
120.12,0.001367,0.0008412,0.0081842
121.09,0.0012466,0.0039629,0.0029198
122.07,0.0030936,0.0016132,0.0032791
123.05,0.0040905,0.0011606,0.010498
124.02,0.0027362,0.0061445,0.007548
125,0.0015617,0.0033281,0.0086105
125.98,0.0033668,0.0046728,0.0042987
126.95,0.002718,0.0016782,0.0041143
127.93,0.00061106,0.004899,0.0042444
128.91,0.0034884,0.0010327,0.0074303
129.88,0.0025142,0.0035197,0.019151
130.86,0.0028212,0.0052108,0.01175
131.84,0.001659,0.0083468,0.0063422
132.81,0.0057992,0.00059861,0.0035808
133.79,0.0022614,0.0027257,0.005106
134.77,0.0062521,0.0093822,0.020325
135.74,0.0018799,0.0081428,0.0082956
136.72,0.00076216,0.0036132,0.0040433
137.7,0.001933,0.0020228,0.0016086
138.67,0.0014144,0.0031093,0.0083666
139.65,0.0048288,0.0030442,0.0083283
140.63,0.0043072,0.0048508,0.010544
141.6,0.0072425,0.010297,0.0026152
142.58,0.0023522,0.0061523,0.0080371
143.55,0.0034435,0.0064117,0.0184
144.53,0.0061701,0.011423,0.036412
145.51,0.00029986,0.0051993,0.016736
146.48,0.014253,0.042896,0.080648
147.46,0.027913,0.038247,0.041281
148.44,0.0073607,0.046465,0.10012
149.41,0.0055764,0.0073863,0.011695
150.39,0.0050137,0.012544,0.014771
151.37,0.0020328,0.011585,0.0044979
152.34,0.005551,0.0032657,0.026641
153.32,0.0094632,0.0052765,0.0057202
154.3,0.011435,0.0047304,0.0050468
155.27,0.0035285,0.0049629,0.0068711
156.25,0.0032524,0.0034092,0.0067429
157.23,0.005955,0.010665,0.0075766
158.2,0.0067643,0.0028051,0.0055524
159.18,0.0042853,0.0038505,0.0018393
160.16,0.0040882,0.0048116,0.0079618
161.13,0.0031732,0.0016206,0.0046133
162.11,0.0029209,0.0012661,0.0046664
163.09,0.0016351,0.0064049,0.0080866
164.06,0.00021038,0.0086344,0.005124
165.04,0.0052213,0.0045965,0.0056043
166.02,0.0047633,0.005815,0.00092231
166.99,0.0056106,0.005178,0.0025005
167.97,0.0044088,0.0035925,0.0033213
168.95,0.004139,0.0085763,0.0044264
169.92,0.0018342,0.0035781,0.0017683
170.9,0.0013603,0.0018822,0.00099175
171.88,0.0014382,0.0036075,0.0013012
172.85,0.0027254,0.00047932,0.0025384
173.83,0.0039178,0.0015057,0.0038446
174.8,0.0037145,0.00047144,0.0005989
175.78,0.00029483,0.0052102,0.0084465
176.76,0.0020738,0.0033875,0.0024865
177.73,0.0056212,0.0052007,0.0033647
178.71,0.00072293,0.0011281,0.00070053
179.69,0.0029704,0.001794,0.0038727
180.66,0.0036313,0.0034296,0.0037936
181.64,0.0027246,0.0043531,0.0020858
182.62,0.0022149,0.0072391,0.0012815
183.59,0.0043121,0.00045223,0.0050035
184.57,0.0023753,0.0052614,0.004685
185.55,0.0038108,0.0044828,0.0037524
186.52,0.005198,0.0029022,0.010568
187.5,0.0026689,0.0015957,0.0012088
188.48,0.002129,0.0013356,0.0044544
189.45,0.0051117,0.008518,0.0043697
190.43,0.0018359,0.0051309,0.0057385
191.41,0.0041152,0.0065821,0.0028076
192.38,0.0032025,0.003855,0.0057737
193.36,0.0018932,0.0037123,0.0037833
194.34,0.0038456,0.007832,0.0073348
195.31,0.00098264,0.0052326,0.0019579
196.29,0.0029558,0.0091018,0.0053384
197.27,0.0057935,0.0021937,0.00082402
198.24,0.002573,0.0022194,0.0034094
199.22,0.0020316,0.0058,0.0037559
200.2,0.0011406,0.0056641,0.0039114
201.17,0.0017509,0.0067865,0.0070814
202.15,0.0023216,0.0021587,0.0057259
203.13,0.0044807,0.0075796,0.0069105
204.1,0.0020237,0.0019116,0.0010636
205.08,0.0046457,0.0086288,0.0052734
206.05,0.0031153,0.0054124,0.00037854
207.03,0.0069065,0.009318,0.003637
208.01,0.0070617,0.0060169,0.0062779
208.98,0.0074787,0.0089956,0.0041431
209.96,0.0039048,0.012239,0.0069871
210.94,0.005279,0.0044309,0.002483
211.91,0.0030123,0.010082,0.0062326
212.89,0.0052594,0.01742,0.0046024
213.87,0.0034343,0.0061707,0.0048876
214.84,0.0043183,0.011894,0.0087886
215.82,0.0048782,0.011404,0.0098322
216.8,0.0071555,0.009735,0.0053632
217.77,0.012504,0.014724,0.0036644
218.75,0.0017513,0.0096606,0.0071527
219.73,0.0085586,0.023593,0.0063993
220.7,0.047822,0.1223,0.021829
221.68,0.056822,0.16014,0.011993
222.66,0.038295,0.096435,0.019629
223.63,0.016501,0.048133,0.0098512
224.61,0.012583,0.02434,0.0064186
225.59,0.0097512,0.020187,0.0095256
226.56,0.010148,0.016968,0.01189
227.54,0.0016574,0.013295,0.008578
228.52,0.0019505,0.0097695,0.0066675
229.49,0.0039799,0.0046287,0.0026989
