freq,X_1600us_unloaded_loosemotor_5,Y_1600us_unloaded_loosemotor_5,Z_1600us_unloaded_loosemotor_5
0,2.931e-17,1.1553e-15,3.3817e-16
0.97656,0.00018075,0.0012095,0.001279
1.9531,0.00044263,0.00037406,0.00020567
2.9297,0.001422,0.00062025,0.0013554
3.9063,0.00062872,0.00027452,0.0015908
4.8828,0.00056625,0.00024029,5.7299e-05
5.8594,0.0007159,0.0013494,0.0017908
6.8359,0.00047735,0.0015849,0.001757
7.8125,0.00080318,0.00039888,0.0014641
8.7891,0.00052204,0.0011845,0.00085064
9.7656,0.00065513,0.0010224,0.0015754
10.742,0.00087674,0.0008515,0.0020849
11.719,0.0009358,0.00014227,0.002594
12.695,0.001009,8.3365e-05,0.0033709
13.672,0.00067311,0.00041921,0.0012048
14.648,0.0013222,0.00031213,0.001778
15.625,0.00086635,0.0004341,0.0011913
16.602,0.0013852,0.0017186,0.0013107
17.578,0.0012661,0.0020628,0.0040008
18.555,0.0019289,0.0020884,0.002605
19.531,0.0014488,0.0011886,0.0022334
20.508,0.0022309,0.0013709,0.0017957
21.484,0.0012388,0.0013964,0.00068856
22.461,0.0031018,0.0027251,0.0027852
23.438,0.0061725,0.0046058,0.0057224
24.414,0.0087749,0.0059084,0.0082657
25.391,0.037094,0.0278,0.038423
26.367,0.0040024,0.0031814,0.0040804
27.344,0.0046208,0.0026547,0.0048246
28.32,0.0019093,0.002137,0.0030503
29.297,0.0014601,0.00094363,0.001402
30.273,0.00013094,0.00051293,0.001959
31.25,0.00037764,0.0013558,0.00080755
32.227,0.00092892,0.00097076,0.00066532
33.203,0.00039787,0.00034367,0.00099882
34.18,0.0004282,0.00013685,0.0015049
35.156,0.00067644,0.00097631,0.0014051
36.133,0.00039493,0.0011514,0.00033843
37.109,0.00049129,0.0011022,0.00055169
38.086,0.00067379,0.0007873,0.00080713
39.063,0.00061109,0.0010124,0.0011322
40.039,0.0011112,0.00073467,0.001284
41.016,0.002732,0.0022189,0.0034761
41.992,0.00080972,0.00057506,0.0015728
42.969,0.00095496,0.0015112,0.00046892
43.945,0.0007991,0.000691,0.00089747
44.922,0.00055197,0.0006027,0.00031548
45.898,0.00052307,0.00080765,0.00082539
46.875,0.00090616,0.00043455,0.00089431
47.852,0.0011556,0.0026324,0.0011048
48.828,0.00063541,0.00097208,0.00041733
49.805,0.0008011,0.00080549,0.00070631
50.781,0.00066535,0.0011859,0.0052837
51.758,0.00074794,0.00079541,0.00060957
52.734,0.0004616,0.0015327,0.00080908
53.711,0.00067675,0.00033365,0.00056081
54.688,0.00059076,0.00045583,0.00062282
55.664,0.00064057,0.00054533,0.00029153
56.641,0.00044351,0.0011178,0.00093197
57.617,6.0043e-05,0.0019485,0.0014144
58.594,0.00021522,0.00086437,0.00049869
59.57,0.00055671,0.0004138,0.00087413
60.547,0.00026121,0.0007962,0.00060383
61.523,0.0003362,0.00072367,0.00049918
62.5,0.00029761,0.0013223,0.00046461
63.477,0.00046706,0.0014081,0.0011864
64.453,0.00035107,0.00049766,0.00034683
65.43,0.00047377,0.0011189,0.00021616
66.406,0.00028749,0.00060173,0.0010389
67.383,0.0001458,0.00034407,8.0108e-05
68.359,0.0003094,0.0014952,0.0001853
69.336,0.00012852,0.0013522,0.00091361
70.313,0.00089271,0.00096536,0.00040506
71.289,0.00083093,0.001065,0.00068767
72.266,0.00041621,0.00081266,0.00063363
73.242,0.0010496,0.00045005,0.00041996
74.219,0.00099408,0.00095555,0.0011075
75.195,0.0018067,0.0019117,0.00066599
76.172,0.0036447,0.0059142,0.003108
77.148,0.00096476,0.0022897,7.8207e-05
78.125,0.00073201,0.0010062,0.00070512
79.102,0.00019146,0.0011618,0.00045477
80.078,8.0824e-05,0.0011508,0.00056641
81.055,0.00047068,0.0023444,0.00094518
82.031,0.00090079,0.0028076,0.00059377
83.008,0.00047937,0.0010839,0.00095204
83.984,0.00058182,0.0010138,0.00042497
84.961,0.00029472,0.00060338,0.00021751
85.938,0.00075593,0.00046256,0.00048214
86.914,0.00070896,0.0010104,0.00035162
87.891,0.00077166,0.0015059,0.00063403
88.867,0.00022344,0.0019845,0.00087166
89.844,0.00039387,0.00056815,0.00022769
90.82,0.00033079,0.0011832,0.00081248
91.797,0.00026663,0.0010608,0.00030978
92.773,0.00038226,0.0022011,0.00099058
93.75,0.00028845,0.0011274,0.00034248
94.727,0.00057528,0.00076417,0.00054888
95.703,0.00048526,0.0011096,0.00127
96.68,0.00073822,0.0014276,0.00082957
97.656,0.00075236,0.00078473,0.00068142
98.633,0.00059711,0.00058559,0.00077901
99.609,0.0015074,0.0016752,0.00114
100.59,0.0025905,0.0028454,0.0022606
101.56,0.0030247,0.0050852,0.0037629
102.54,0.00070501,0.0031622,0.00032748
103.52,0.00047446,0.0014795,8.0508e-05
104.49,0.0007161,0.002063,0.00015498
105.47,0.0003372,0.00026235,0.0005873
106.45,0.00057336,0.00029133,0.00055968
107.42,0.00019989,0.00025632,0.00039143
108.4,0.00050488,0.00042523,0.001034
109.38,0.00023032,0.0001793,0.00093884
110.35,0.00026439,0.0010745,0.00084644
111.33,0.00061299,0.0016215,0.0012496
112.3,0.0004236,0.00042423,0.0011201
113.28,0.00041192,0.00078783,0.00081787
114.26,0.0014536,0.0016432,0.00077971
115.23,0.00061723,0.0014134,0.0007799
116.21,0.00063946,0.00080375,0.00092094
117.19,0.0014871,0.0006077,0.0010587
118.16,0.00067038,0.00076543,0.00053519
119.14,0.0011677,0.0012182,0.0006628
120.12,0.00093175,0.0010754,0.00079219
121.09,0.0013861,0.0021545,0.0013366
122.07,0.0011159,0.0014463,0.00096509
123.05,0.0020288,0.0026901,0.0018709
124.02,0.0025678,0.0031465,0.0019336
125,0.0024443,0.0030074,0.0018645
125.98,0.0068217,0.0094,0.0059461
126.95,0.015692,0.025008,0.015013
127.93,0.0036639,0.0051781,0.0036532
128.91,0.00069818,0.0017195,0.0011538
129.88,0.00075871,0.00095276,0.0006552
130.86,0.00094202,0.001567,0.0012175
131.84,0.00021926,0.00069775,0.000628
132.81,0.00044465,0.00090449,0.00022383
133.79,0.00028941,0.0014516,0.0018257
134.77,0.00039004,0.00081742,0.0010103
135.74,0.00012724,0.00098865,0.00083071
136.72,0.00012013,0.00035887,0.0010162
137.7,0.00037083,0.00084397,0.0013108
138.67,0.0002432,0.00031354,0.001834
139.65,0.00081583,0.0013796,0.0016323
140.63,0.00014464,0.0012185,0.0024298
141.6,0.00041684,0.00065661,0.00216
142.58,0.00055777,0.00072012,0.0023325
143.55,0.00042381,0.0018629,0.0027027
144.53,0.00056195,0.0017735,0.0031714
145.51,0.00042429,0.00181,0.0037224
146.48,0.00077862,0.001992,0.0045889
147.46,0.00094222,0.002914,0.0056724
148.44,0.0011581,0.0034049,0.0074519
149.41,0.0020915,0.0054374,0.010573
150.39,0.0033709,0.0081958,0.016714
151.37,0.0089561,0.022892,0.046752
152.34,0.011453,0.02781,0.056922
153.32,0.0033884,0.0083851,0.017675
154.3,0.001628,0.0041839,0.0096479
155.27,0.0019141,0.0037964,0.0064924
156.25,0.0010702,0.0025896,0.0053323
157.23,0.0010333,0.0021052,0.0037321
158.2,0.00048746,0.0016179,0.0028741
159.18,0.0012708,0.002458,0.0031525
160.16,0.00056299,0.001178,0.0023343
161.13,0.00040394,0.0012896,0.0016396
162.11,0.00035544,0.00084955,0.0011221
163.09,0.00021914,0.00095358,0.0014142
164.06,0.00022437,0.0011729,0.00045177
165.04,0.000853,0.00037255,0.0017934
166.02,0.00030719,0.00010565,0.00081431
166.99,0.00047806,0.00015543,0.00084324
167.97,0.00023083,0.001022,0.00054345
168.95,0.00054909,0.00027745,0.0004835
169.92,0.00075652,0.00044416,0.0010923
170.9,0.00056254,0.00067684,0.00010275
171.88,0.00045328,0.00028967,0.0004392
172.85,0.00085529,0.00034089,0.0005169
173.83,0.00077361,0.00066471,0.00029712
174.8,0.00094908,0.0012291,0.00047914
175.78,0.0029149,0.0022962,0.0016862
176.76,0.0095547,0.0074228,0.0052434
177.73,0.0059471,0.0040589,0.004152
178.71,0.0016437,0.00045544,0.0011862
179.69,0.0020678,0.001406,0.0018732
180.66,0.0013326,0.001016,0.001569
181.64,0.0011326,0.00048926,0.0011884
182.62,0.00070357,0.0018098,0.0016815
183.59,0.00068123,0.0030709,0.0011525
184.57,0.00065557,0.0012955,0.0013636
185.55,0.00085508,0.00076255,0.0015086
186.52,0.00038786,0.00051269,0.00075815
187.5,0.0007208,0.0013786,0.0012005
188.48,0.0005024,0.0010519,0.0014336
189.45,0.00075801,0.00061138,0.00067502
190.43,0.00044397,0.0012296,0.00069978
191.41,0.00028093,0.00087626,0.0011334
192.38,0.00020858,0.00053047,0.0020907
193.36,0.00045949,0.00027449,0.00018195
194.34,0.00020094,0.00089192,0.0008501
195.31,0.00028794,9.6035e-05,0.0006633
196.29,0.00043448,0.00024677,0.00063759
197.27,0.00026249,0.00044745,0.00085191
198.24,0.00023032,0.00039399,0.00066925
199.22,0.00071171,0.0011072,0.00074497
200.2,0.00043346,0.001063,0.00096147
201.17,0.00050648,0.00078143,0.00073728
202.15,0.0011362,0.001746,0.0015081
203.13,0.0011435,0.001812,0.0022117
204.1,0.00064389,0.00084561,0.00077094
205.08,0.00033271,0.00061274,0.00034463
206.05,9.2388e-05,0.0009008,0.00027256
207.03,0.00015576,0.00032678,0.0002378
208.01,9.0336e-05,0.0012528,0.00018871
208.98,0.00050128,0.00041876,0.00055354
209.96,5.0744e-05,0.00043174,0.00037666
210.94,0.00012639,0.00033676,0.00016412
211.91,0.00011678,0.00063503,0.00067204
212.89,0.00017727,0.00030279,0.00012354
213.87,0.00041286,0.00054678,0.0003321
214.84,0.00075921,0.00098063,0.00048949
215.82,0.00041782,0.00058592,0.00097246
216.8,9.6779e-05,0.00040896,0.00056705
217.77,0.00014587,0.00048901,0.00026794
218.75,9.644e-05,0.00030233,0.00040893
219.73,0.00022402,0.00050465,0.00049069
220.7,0.00011494,0.00027578,0.00059587
221.68,0.00030262,0.00032857,0.00045156
222.66,0.0001141,0.00042162,0.00058242
223.63,0.0001535,0.00075805,0.00037617
224.61,0.00081385,0.0011709,0.00077122
225.59,0.00049387,0.00082317,0.00058187
226.56,0.00087019,0.0015106,0.0014271
227.54,0.0033756,0.0052824,0.006147
228.52,0.0013416,0.0032437,0.0040265
229.49,0.00084869,0.0012619,0.002359
230.47,0.0011084,0.00035838,0.0012316
231.45,0.00047041,0.00072781,0.00081062
232.42,0.00065479,0.00058269,0.0010172
233.4,0.00074769,0.00015758,0.00085932
234.38,0.00036037,0.0012858,0.00043466
235.35,0.0005971,0.00019959,0.0004136
236.33,0.00026036,2.49e-05,0.00071949
237.3,0.00044586,6.3379e-05,0.00046886
238.28,0.00028092,0.00028182,0.00021509
239.26,0.00034308,0.00032287,0.00028394
240.23,0.00045357,0.0012321,0.00029893
241.21,0.00029655,0.00076072,0.00029105
242.19,0.00021965,0.00052074,0.00025761
243.16,0.00010729,0.00066618,0.0003466
244.14,6.4338e-05,0.00056091,0.00016106
245.12,0.00011631,0.000844,0.00020659
246.09,0.0003307,0.0003924,0.00015778
247.07,0.00020911,0.00018058,0.00029597
248.05,0.00026217,0.00018606,0.00021908
249.02,0.00025434,0.0001534,0.00031468
250,0.00075484,0.00054509,6.1018e-05
250.98,0.00037043,0.00021398,0.00011472
251.95,0.00010966,0.00024273,0.00067304
252.93,0.0021384,0.0046801,0.0059456
253.91,0.00078323,0.0020707,0.0010762
254.88,0.00013172,0.0017242,0.00035223
255.86,0.00076684,0.0034916,0.0011427
256.84,0.00057895,0.0015542,0.00078139
257.81,3.3422e-05,0.00061921,2.5762e-05
258.79,0.00047839,0.0008409,0.00054875
259.77,1.6449e-05,0.0009009,0.00049573
260.74,0.000669,0.00038479,0.00023459
261.72,0.00033448,0.00022133,0.00061145
262.7,0.0010096,0.00041917,0.00046003
263.67,0.00020457,0.00025362,0.00032904
264.65,0.00050707,0.00011638,0.00050044
265.63,0.0003698,0.0015037,0.00043874
266.6,0.00032436,0.00055317,0.000359
267.58,0.00021747,0.00046874,0.00056788
268.55,0.00016047,0.00028037,0.00027236
269.53,0.00015935,0.00046839,0.00014699
270.51,0.00024243,0.00047549,0.00027559
271.48,9.9853e-05,0.00034485,0.0004198
272.46,3.821e-05,0.00034913,0.0003633
273.44,0.000137,0.00018085,0.00021886
274.41,9.7693e-05,1.7025e-05,0.00020092
275.39,0.00045825,0.00012162,0.00018032
276.37,0.00030652,0.0001473,0.000636
277.34,9.7536e-05,0.00043937,0.00053077
278.32,0.0017168,0.0022611,0.0028456
279.3,0.00083589,0.0014796,0.0011893
280.27,0.00069248,0.00095096,0.00077361
281.25,0.00092861,0.0011631,0.0008592
282.23,0.00031265,0.00035082,0.00025723
283.2,0.00043067,0.00080337,0.00054049
284.18,0.00035201,0.00096726,0.00022925
285.16,0.00063091,0.0018483,0.00044578
286.13,0.00027174,0.0021458,0.00053583
287.11,0.0001378,0.0003064,0.00033142
288.09,5.4999e-05,0.00071486,0.00045514
289.06,8.898e-05,0.00032497,0.00038535
290.04,0.00024949,0.00069363,0.00027383
291.02,0.00069971,0.00049755,0.00090198
291.99,0.00032589,0.000187,0.00069168
292.97,0.00045345,0.00047981,0.00055285
293.95,0.00032638,0.00039344,0.00054441
294.92,6.6855e-05,0.00041375,0.00051146
295.9,0.00019537,0.00015014,0.00062666
296.88,0.00019263,0.00027926,0.00051199
297.85,0.0001345,0.00025638,0.00043284
298.83,0.00013159,2.4794e-05,0.00019377
299.8,0.00012052,9.0939e-05,0.00054422
300.78,0.00029785,0.0001633,0.00027704
301.76,0.00025635,0.00037829,0.00031148
302.73,0.00052546,0.00040997,0.001269
303.71,0.0066595,0.0062185,0.022302
304.69,0.0013769,0.0008712,0.0033496
305.66,0.00069763,0.0010168,0.0022653
306.64,0.0015228,0.00012372,0.0016159
307.62,0.00020298,0.00057198,0.0012975
308.59,0.00022009,0.00045325,0.0012781
309.57,0.00029239,0.00083936,0.0013431
310.55,0.0001652,0.00035779,0.0011878
311.52,0.00020116,0.00041062,0.0011256
312.5,0.00022537,0.00058717,0.0010572
313.48,0.00017258,0.00071516,0.0012331
314.45,0.00023599,0.00043399,0.00092708
315.43,0.00031784,0.00026688,0.0011222
316.41,0.0016544,0.0007207,0.0016111
317.38,0.00019717,0.00045502,0.0010608
318.36,0.00010758,0.00013357,0.00094589
319.34,0.00015495,0.00058337,0.00068142
320.31,0.00015187,0.00015986,0.00086936
321.29,0.00013319,0.00019332,0.00088466
322.27,0.00019318,0.00044438,0.00075275
323.24,7.3363e-05,0.00052443,0.00057545
324.22,0.00012258,0.00039352,0.00070418
325.2,0.00015183,0.00045022,0.00059903
326.17,0.00036761,0.00093611,0.00056874
327.15,0.00028141,0.0003243,0.0010938
328.13,0.00046922,0.00054713,0.0010463
329.1,0.0031043,0.0016269,0.0069687
330.08,0.00026992,0.00061685,0.00027767
331.05,0.00075189,0.0019435,0.00070793
332.03,0.0002622,0.00078735,0.00053017
333.01,0.00024655,0.00036071,0.00014443
333.98,0.00022148,0.00066904,0.00051452
334.96,0.00040971,0.0014113,0.00017849
335.94,0.00035785,0.0002627,0.00036456
336.91,0.00015666,0.0004832,9.5174e-05
337.89,0.00029041,0.00027205,5.9884e-05
338.87,0.00023935,0.00057047,0.0001803
339.84,0.00014137,0.00017733,0.0001197
340.82,0.00045787,0.00037822,0.00014885
341.8,0.0015726,0.0018604,0.0007246
342.77,0.00020568,0.00033295,4.1635e-05
343.75,0.00019285,1.9253e-05,9.3775e-05
344.73,0.0011145,0.00021478,0.00089398
345.7,0.00024601,0.00019215,6.0634e-05
346.68,0.00030504,0.00025015,0.00043738
347.66,0.00021442,0.00042202,0.00015787
348.63,0.00010242,0.000428,4.409e-05
349.61,0.00015333,0.00033441,0.00043704
350.59,9.0557e-05,0.00051595,0.00021419
351.56,0.00037265,0.00026834,0.00021693
352.54,0.00040766,5.7028e-05,0.00047743
353.52,8.5722e-05,0.00015251,0.0004539
354.49,0.0017853,0.0018759,0.00057706
355.47,0.00030531,0.00041598,0.0002977
356.45,0.00039342,0.00043384,0.00039987
357.42,0.00010274,0.00031183,0.00021127
358.4,9.0692e-05,0.00097432,0.00025742
359.38,0.00012806,0.00026632,0.00011276
360.35,0.00010556,0.00072467,0.00017761
361.33,9.8637e-05,0.00012485,0.00061245
362.3,0.0001481,0.00013253,0.00028425
363.28,1.3169e-05,0.00029915,0.00047836
364.26,0.00021329,0.00039689,0.00016272
365.23,0.00011028,0.0003706,0.00020357
366.21,0.00023695,8.384e-05,0.00020094
367.19,0.001226,0.003591,0.0026541
368.16,5.2116e-05,0.00017617,9.4692e-05
369.14,0.00021586,0.00020895,0.00011245
370.12,0.00018004,0.00028472,0.00021283
371.09,0.0002194,0.00037057,0.00019526
372.07,0.00014708,0.00039043,0.00011905
373.05,0.00027161,0.000199,0.00031947
374.02,0.00017103,0.00023317,0.00029113
375,0.00020927,0.0001122,0.00026526
375.98,0.00029135,0.00067171,0.00027361
376.95,0.00053183,0.00022519,0.00037524
377.93,0.00040858,0.00019188,0.0005799
378.91,0.00072852,0.00023731,0.0007052
379.88,0.0044041,0.0033656,0.0034163
380.86,0.00056812,0.00049256,0.00031595
381.84,0.00021142,0.00050656,0.00012552
382.81,0.00058867,0.0012368,0.00016431
383.79,0.00055713,0.00028302,0.00018469
384.77,0.00037008,0.00032694,0.00019993
385.74,0.00026766,0.00029159,0.00092916
386.72,0.00048654,0.00067514,0.00033603
