freq,X_2200us_loaded_5,Y_2200us_loaded_5,Z_2200us_loaded_5
0,4.8567e-16,1.6892e-16,1.7948e-15
0.97656,0.015233,0.0095166,0.0069811
1.9531,0.0028587,0.0035503,0.0034355
2.9297,0.0044383,0.0045284,0.0031603
3.9063,0.001656,0.0037348,0.0043698
4.8828,0.0027265,0.0012357,0.01641
5.8594,0.0025982,0.0022621,0.009554
6.8359,0.0011308,0.0046014,0.0057689
7.8125,0.0024547,0.0057649,0.0050487
8.7891,0.0025043,0.0011125,0.0048714
9.7656,0.0013906,0.002169,0.0070213
10.742,0.001888,0.003402,0.010125
11.719,0.0019513,0.0043815,0.0071972
12.695,0.0028713,0.0014432,0.0081966
13.672,0.00071414,0.0027221,0.0036321
14.648,0.0046224,0.0026829,0.018054
15.625,0.0008008,0.0011543,0.0025583
16.602,0.002789,0.00037198,0.014687
17.578,0.00087917,0.0016463,0.0028823
18.555,0.0012101,0.00086957,0.0044055
19.531,0.0028814,0.0011896,0.0035783
20.508,0.0023019,0.0034433,0.0017784
21.484,0.0011054,0.0020342,0.0067479
22.461,0.0022495,0.00097088,0.0043661
23.438,0.00061971,0.0011172,0.0033087
24.414,0.0012281,0.00047775,0.011424
25.391,0.00089538,0.001927,0.0034367
26.367,0.0015714,0.0041393,0.0018884
27.344,0.0013873,0.0036689,0.0043073
28.32,0.00051235,0.0016634,0.006712
29.297,0.00057476,0.0037206,0.0021434
30.273,0.00099166,0.0022304,0.0026786
31.25,0.0019814,0.0013199,0.0047577
32.227,0.0017577,0.0023486,0.00057671
33.203,0.0013971,0.0031947,0.0055032
34.18,0.0013789,0.0024871,0.0078615
35.156,0.00090965,0.0026486,0.0015967
36.133,0.00099612,0.001375,0.0012708
37.109,0.0012645,0.0014582,0.0032139
38.086,0.00089625,0.0012638,0.0041141
39.063,0.00082637,0.0010459,0.0061833
40.039,6.4258e-05,0.00030797,0.0021618
41.016,0.0012991,0.0015248,0.00027226
41.992,0.00025975,0.001379,0.0033793
42.969,0.0011725,0.0014786,0.0023242
43.945,0.0027985,0.002338,0.0023308
44.922,0.0015073,0.0018743,0.0017583
45.898,0.00098086,0.0023418,0.0032818
46.875,0.0018491,0.0015477,0.0045649
47.852,0.001173,0.0018437,0.0020586
48.828,0.0010743,0.0014946,0.004763
49.805,0.0011996,0.0021557,0.0039562
50.781,0.0011226,0.0029746,0.00047557
51.758,0.0020388,0.0022911,0.0047236
52.734,0.00043578,0.0021899,0.0010178
53.711,0.00085582,0.0028969,0.0013973
54.688,0.00064798,0.0020518,0.0033677
55.664,0.0011716,0.0007805,0.0026858
56.641,0.00057834,0.0006211,0.0018856
57.617,0.0012332,0.00092555,0.0028203
58.594,0.00019638,0.0010117,0.0018293
