freq,X_800us_broken_prop_9,Y_800us_broken_prop_9,Z_800us_broken_prop_9
0,2.4203e-16,2.8022e-16,1.5639e-15
0.97656,0.00053137,0.0048172,0.0013356
1.9531,0.00042253,0.0051902,0.0014434
2.9297,0.00063111,0.0045834,0.0015039
3.9063,0.00037454,0.0040798,0.0016916
4.8828,0.0002782,0.0044957,0.0019849
5.8594,0.00023643,0.0035929,0.0011347
6.8359,0.00044599,0.0054518,0.0015719
7.8125,0.00045102,0.0049371,0.0022423
8.7891,0.00063284,0.0046465,0.0014513
9.7656,0.00018637,0.0048816,0.00088362
10.742,0.0001943,0.0059957,0.0022458
11.719,0.00033013,0.0085633,0.0027725
12.695,0.00066429,0.010152,0.003038
13.672,0.0005023,0.012787,0.0035255
14.648,0.00078019,0.015901,0.004714
15.625,0.0013855,0.022782,0.0069714
16.602,0.0018435,0.032021,0.0099864
17.578,0.0030773,0.050703,0.01599
18.555,0.0058016,0.090104,0.028407
19.531,0.023565,0.37232,0.11664
20.508,0.012937,0.19898,0.06298
21.484,0.0051574,0.082748,0.02606
22.461,0.0031817,0.050949,0.015658
23.438,0.002189,0.037334,0.012549
24.414,0.00095155,0.026917,0.01054
25.391,0.0014177,0.02514,0.0082878
26.367,0.0023814,0.030564,0.0052252
27.344,0.00049069,0.01512,0.0069658
28.32,0.0016698,0.01874,0.0056447
29.297,0.0014668,0.01677,0.0059549
30.273,0.00080784,0.015876,0.0044284
31.25,0.0013308,0.015807,0.0038767
32.227,0.00087017,0.012961,0.0031684
33.203,0.0004579,0.010746,0.002737
34.18,0.00040916,0.0088963,0.0029633
35.156,0.00058216,0.0086837,0.0020115
36.133,0.00029409,0.0079671,0.0025134
37.109,0.00059892,0.0073842,0.0022885
38.086,0.00023144,0.0076896,0.0021395
39.063,0.00088034,0.0073859,0.0017255
40.039,0.003498,0.0037102,0.0015828
41.016,0.00071317,0.0023303,0.0014406
41.992,0.00040188,0.0018643,0.0008095
42.969,0.00074088,0.0015021,0.00078096
43.945,0.00051742,0.00093378,0.00035346
44.922,0.00058277,0.0020788,0.0014771
45.898,0.00017541,0.0019831,0.0014711
46.875,0.00046111,0.0016799,0.00055396
47.852,0.00063353,0.002223,0.0014149
