freq,X_800us_loaded_loosepylon_3,Y_800us_loaded_loosepylon_3,Z_800us_loaded_loosepylon_3
0,3.0087e-17,1.2002e-16,2.1327e-15
0.97656,0.00042931,0.004665,0.0016849
1.9531,0.00063972,0.0065032,0.0022022
2.9297,0.00030935,0.0034752,0.0010511
3.9063,0.00014837,0.004253,0.00065468
4.8828,0.0018962,0.028374,0.0060145
5.8594,0.00072893,0.0068432,0.0013708
6.8359,0.00039968,0.0072759,0.0016743
7.8125,0.00080979,0.0061996,0.0015693
8.7891,0.00070048,0.0045907,0.0011831
9.7656,0.00096972,0.001515,0.00078319
10.742,0.001319,0.0032666,0.0026503
11.719,0.00092782,0.0028181,0.0010706
12.695,0.00035441,0.003105,0.00040462
13.672,0.000599,0.0012689,0.00094222
14.648,0.00058473,0.0015312,0.00070472
15.625,0.00041412,0.0029149,0.00074629
16.602,0.00022618,0.00086643,0.00021413
17.578,0.0002304,0.00089847,0.00095018
18.555,7.6977e-05,0.0011815,0.0004043
19.531,0.00028003,0.0016634,1.0132e-05
20.508,0.0029479,0.033869,0.0051808
21.484,0.00034277,0.0028588,0.0017958
22.461,9.7276e-05,0.0023894,0.00016546
23.438,0.00013116,0.00071145,0.00071566
24.414,0.00026489,0.0023603,0.00024107
25.391,0.00049247,0.0054416,0.0030208
26.367,9.6634e-05,0.0026908,0.00085735
27.344,0.00032156,0.0018158,0.00047023
28.32,0.00017625,0.0015067,4.0636e-05
29.297,9.1308e-05,0.0020176,0.00047023
30.273,0.00027909,0.0011559,0.00080976
31.25,0.00037532,0.0013239,0.0013587
32.227,0.00059013,0.0022226,0.00063189
33.203,0.00028605,0.0017899,0.00016579
34.18,0.00025522,0.00027896,0.00080825
35.156,0.00052256,0.0029103,0.0016079
36.133,0.00054638,0.004104,0.0032284
37.109,0.0003092,0.0024915,0.0011286
38.086,0.00022968,0.00054118,0.00059778
39.063,0.0004234,0.0019588,0.00010071
40.039,0.00029788,0.001554,0.00047764
41.016,0.0015582,0.0091832,0.003109
41.992,0.00048502,0.0035946,0.0019588
42.969,0.00027146,0.0027687,0.0010951
43.945,0.00026375,0.0010626,0.00042375
44.922,0.0001441,0.0011781,0.00075248
45.898,0.00058952,0.0017198,0.00036772
