freq,X_800us_unloaded_4,Y_800us_unloaded_4,Z_800us_unloaded_4
0,5.1628e-15,7.0199e-16,2.1223e-14
0.97656,0.0003963,0.0028299,1.4633e-05
1.9531,0.00011501,0.0013775,7.2263e-06
2.9297,8.0517e-05,0.00098329,5.3115e-06
3.9063,9.1022e-05,0.00070123,1.6395e-05
4.8828,5.3565e-05,0.00048563,5.8681e-06
5.8594,3.5502e-05,0.00040923,2.0406e-06
6.8359,3.1166e-05,0.00033565,6.1726e-06
7.8125,3.6761e-05,0.00024793,8.7637e-06
8.7891,4.208e-05,0.00021523,9.8593e-07
9.7656,3.8262e-05,0.00021489,3.7851e-06
10.742,1.2817e-05,0.00017503,1.9692e-06
11.719,1.7e-05,0.00015964,1.2196e-05
12.695,4.5281e-05,0.00011822,2.719e-06
13.672,1.8909e-05,0.00013615,6.2215e-06
14.648,2.1022e-05,9.1756e-05,4.7748e-06
15.625,6.8871e-06,8.9502e-05,1.3647e-05
16.602,5.3693e-06,8.3182e-05,1.0079e-05
17.578,1.8611e-05,6.5259e-05,9.5253e-06
18.555,2.5591e-05,5.3575e-05,5.3079e-06
19.531,1.2751e-05,4.6797e-05,1.1946e-05
20.508,1.5602e-05,2.1417e-05,4.1809e-06
21.484,1.7793e-05,3.507e-05,6.4912e-06
22.461,1.0096e-05,3.9029e-05,5.3835e-06
23.438,8.4759e-06,3.1766e-05,1.2906e-05
24.414,1.2963e-05,2.5269e-05,3.3444e-06
25.391,3.1997e-05,3.2741e-05,3.992e-06
26.367,1.1669e-05,4.2203e-05,1.4051e-06
27.344,8.3047e-06,5.414e-05,1.3017e-05
28.32,2.5627e-05,4.7652e-05,1.0453e-06
29.297,1.8777e-05,6.0941e-05,4.6918e-06
30.273,4.288e-06,4.9519e-05,4.5948e-06
31.25,3.6894e-05,5.613e-05,1.2142e-05
32.227,2.0587e-05,7.9264e-05,5.5697e-06
33.203,7.3967e-06,6.7441e-05,4.935e-06
34.18,3.4872e-05,5.0332e-05,1.3744e-06
35.156,1.8428e-05,6.2429e-05,1.4912e-05
36.133,1.1884e-05,5.8882e-05,6.5525e-06
37.109,2.1783e-05,8.1981e-05,9.2112e-06
38.086,1.7635e-05,6.195e-05,5.0499e-06
39.063,8.0445e-06,8.8847e-05,1.2035e-05
40.039,2.8205e-05,5.9877e-05,5.7962e-06
41.016,1.4359e-05,7.4428e-05,4.3732e-06
41.992,9.8337e-06,7.896e-05,5.5169e-06
42.969,2.4192e-05,3.1893e-05,1.1973e-05
43.945,1.5342e-05,6.6748e-05,4.1901e-06
44.922,1.4621e-05,6.4146e-05,4.031e-06
45.898,2.1697e-05,3.5051e-05,7.4408e-06
46.875,9.425e-06,7.3515e-05,1.4448e-05
47.852,1.3341e-05,2.9998e-05,3.0955e-06
48.828,4.7975e-06,3.772e-05,2.8316e-06
49.805,1.4396e-05,7.178e-05,2.9365e-06
50.781,1.2313e-05,6.6325e-05,1.8172e-05
51.758,1.2774e-05,5.0339e-05,5.0384e-06
52.734,1.8413e-05,1.0317e-05,9.3476e-06
53.711,2.6661e-05,4.2132e-05,1.25e-05
54.688,1.615e-05,2.1118e-05,1.8467e-05
55.664,3.0704e-06,4.5302e-05,2.6249e-06
56.641,1.3356e-05,2.1795e-05,1.3329e-06
57.617,9.7758e-06,2.4525e-05,1.6469e-06
58.594,2.7826e-05,4.5796e-05,1.1427e-05
59.57,1.5283e-05,4.6288e-05,6.3987e-06
60.547,1.735e-05,1.2849e-05,6.9771e-06
61.523,2.2468e-05,2.6228e-05,3.8612e-06
62.5,0.00014157,0.0001439,1.132e-05
63.477,7.9078e-06,3.3744e-05,3.7741e-06
64.453,5.9853e-06,7.0341e-06,4.5314e-06
65.43,1.3057e-05,3.0108e-05,9.2543e-06
66.406,1.8755e-05,3.0188e-05,1.9176e-05
67.383,7.3164e-06,1.4956e-05,1.3761e-05
68.359,1.5488e-05,1.8631e-05,8.777e-06
69.336,5.1354e-05,9.361e-06,5.8149e-06
70.313,6.8625e-06,1.9763e-05,5.3574e-06
71.289,7.3939e-06,3.1468e-05,4.7921e-06
72.266,3.6692e-05,1.3959e-05,1.7002e-06
