freq,X_900us_broken_prop_3,Y_900us_broken_prop_3,Z_900us_broken_prop_3
0,1.1751e-15,5.1337e-16,8.5021e-16
0.97656,0.0045429,0.0096614,0.012632
1.9531,0.0043818,0.015724,0.0048161
2.9297,0.014539,0.02693,0.0031768
3.9063,0.0070155,0.015206,0.0071925
4.8828,0.012738,0.022271,0.008386
5.8594,0.0093963,0.020849,0.0051025
6.8359,0.0059946,0.014274,0.00063317
7.8125,0.016497,0.021941,0.0087518
8.7891,0.010682,0.021735,0.0058182
9.7656,0.017493,0.020522,0.0033773
10.742,0.018959,0.025509,0.007566
11.719,0.01353,0.013303,0.0077511
12.695,0.021405,0.019063,0.015377
13.672,0.013885,0.025322,0.0083574
14.648,0.01673,0.028655,0.0088894
15.625,0.014486,0.027596,0.014834
16.602,0.018279,0.011861,0.0029636
17.578,0.034539,0.026708,0.013988
18.555,0.015793,0.0093635,0.0096383
19.531,0.025426,0.038988,0.0044363
20.508,0.0048939,0.024751,0.0044996
21.484,0.010502,0.015553,0.0042593
22.461,0.013883,0.023296,0.005875
23.438,0.0052786,0.0078337,0.0041716
24.414,0.0087785,0.008968,0.0033324
25.391,0.012564,0.01425,0.006557
26.367,0.028852,0.042969,0.0014474
27.344,0.028635,0.026333,0.0050811
28.32,0.045357,0.045276,0.00056331
29.297,0.033299,0.046242,0.006129
30.273,0.043507,0.065573,0.0090131
31.25,0.049048,0.072875,0.014341
32.227,0.05277,0.075949,0.014263
33.203,0.1323,0.19238,0.023276
34.18,0.19181,0.28011,0.015415
35.156,0.58552,0.93108,0.052172
36.133,0.12563,0.19797,0.014733
37.109,0.067217,0.094487,0.0096777
38.086,0.065137,0.095875,0.01298
39.063,0.032199,0.048106,0.0032329
40.039,0.01713,0.017843,0.00087093
41.016,0.012639,0.026614,0.0018867
41.992,0.012079,0.020954,0.0056562
42.969,0.035112,0.050924,0.0055553
43.945,0.016547,0.029197,0.0071085
44.922,0.018676,0.019739,0.010732
45.898,0.021808,0.03542,0.0095685
46.875,0.019634,0.021108,0.0058017
47.852,0.025505,0.045529,0.0063911
48.828,0.0261,0.035933,0.013464
49.805,0.024531,0.033572,0.0043984
50.781,0.031275,0.05764,0.0048723
51.758,0.0060928,0.024384,0.018925
52.734,0.045567,0.023355,0.039296
53.711,0.028635,0.030948,0.014388
54.688,0.015599,0.020168,0.0059914
55.664,0.022379,0.036302,0.011795
56.641,0.010898,0.019351,0.0056747
57.617,0.012831,0.022154,0.0050034
58.594,0.010253,0.022273,0.0043671
59.57,0.012353,0.01336,0.010305
60.547,0.0097786,0.014196,0.0044775
61.523,0.0058416,0.0021549,0.0039639
62.5,0.0075208,0.011342,0.0065528
63.477,0.0037308,0.0026883,0.0044953
64.453,0.0049395,0.0056989,0.011248
65.43,0.0052479,0.0074533,0.0018828
66.406,0.0073488,0.0092726,0.015137
67.383,0.0068752,0.010167,0.005587
68.359,0.0091004,0.014196,0.031869
69.336,0.01707,0.0063795,0.049003
70.313,0.027902,0.0093909,0.035975
71.289,0.015576,0.017438,0.017545
72.266,0.0018119,0.0079296,0.01348
73.242,0.0086488,0.010902,0.0081479
74.219,0.012489,0.0084116,0.012517
75.195,0.0036088,0.006659,0.01349
76.172,0.0033052,0.012928,0.0066778
