freq,X_900us_unloaded_loosepylon_7,Y_900us_unloaded_loosepylon_7,Z_900us_unloaded_loosepylon_7
0,1.4977e-16,2.0806e-16,3.2618e-16
0.97656,0.00078613,0.009631,0.00027842
1.9531,0.00013869,0.0048066,0.0016841
2.9297,0.0011364,0.0031091,0.00072331
3.9063,0.00059195,0.0022365,0.0010363
4.8828,0.00053458,0.0037671,0.0055125
5.8594,0.00021198,0.0025686,0.0021572
6.8359,0.00038267,0.0020105,0.0015187
7.8125,0.00045353,0.0019043,0.0011367
8.7891,0.00041247,0.00065495,0.00090147
9.7656,0.00095458,0.0014279,0.00058852
10.742,0.0011832,0.0048669,0.0032094
11.719,0.0020619,0.0063331,0.0023369
12.695,0.0019199,0.0037319,0.00053986
13.672,0.0036198,0.0016609,0.0031882
14.648,0.002058,0.0022084,0.0024918
15.625,0.00086727,0.00029027,0.0021141
16.602,0.00037705,0.0031327,0.0067304
17.578,0.00014359,0.0023082,0.0029187
18.555,0.00019428,0.0028166,0.001741
19.531,8.127e-05,0.0010344,0.0019688
20.508,0.0006527,0.0013321,0.0011684
21.484,0.00035475,0.0036062,0.0013352
22.461,0.0011105,0.0016016,0.0034128
23.438,4.4586e-05,0.0023728,0.0017153
24.414,0.0003198,0.0029065,0.0012583
25.391,0.00079355,0.003687,0.001995
26.367,0.00080923,0.0037115,0.0040357
27.344,0.0011689,0.0030686,0.0022781
28.32,0.0012036,0.0048224,0.0038723
29.297,0.0025032,0.0093102,0.0072892
30.273,0.0029058,0.012927,0.011012
31.25,0.0036813,0.012668,0.0093145
32.227,0.011679,0.048147,0.035716
33.203,0.01389,0.055798,0.038079
34.18,0.0054077,0.021278,0.014467
35.156,0.0029751,0.013705,0.0096518
36.133,0.0017988,0.0039605,0.0038095
37.109,0.0018177,0.0086548,0.005572
38.086,0.0011207,0.004435,0.0021202
39.063,0.0010115,0.0029995,0.0022344
40.039,0.0014973,0.0021411,0.0032195
41.016,0.0013821,0.0034478,0.0023804
41.992,0.00093274,0.0052349,0.0040842
42.969,0.00081675,0.0031566,0.001171
43.945,0.0012475,0.0042965,0.002062
44.922,0.00080713,0.001176,0.0018355
45.898,0.00065888,0.0037645,0.0033257
46.875,0.002218,0.024025,0.009666
47.852,0.0010122,0.0050706,0.0030049
48.828,0.0009222,0.0028146,0.0017545
49.805,0.00036275,0.0013852,0.0011234
50.781,0.0003513,0.00086806,0.00042481
51.758,0.00031774,0.0022877,0.0028978
52.734,0.00056878,0.0015279,0.0014232
53.711,0.00059042,0.0011544,0.00024658
54.688,0.00044562,0.00059107,0.00037598
55.664,0.00041287,0.00077571,0.0026189
56.641,0.0008491,0.0011374,0.0013875
57.617,0.00094202,0.0022661,0.0014537
58.594,0.00091093,0.0016605,0.0011382
59.57,0.0018039,0.0011367,0.002335
60.547,0.0031325,0.0020445,0.00045234
61.523,0.0033539,0.00037171,0.00068913
62.5,0.0019978,0.0006978,0.0017301
63.477,0.00078715,0.0022186,0.0026306
64.453,0.00081247,0.00070169,0.0013211
65.43,0.0039758,0.0042658,0.0089874
66.406,0.000741,0.0006245,0.00059929
67.383,0.00055044,0.0010844,0.00064239
68.359,0.0018304,0.0025639,0.0104
69.336,0.0014599,0.0024042,0.0043016
70.313,0.0015317,0.0030257,0.0032414
71.289,0.00080681,0.00092717,0.0014426
72.266,0.0021896,0.0023373,0.0049201
73.242,0.0030078,0.0026812,0.0061175
74.219,0.0021365,0.0025969,0.0044445
75.195,0.0017566,0.0045907,0.003331
76.172,0.0050838,0.0066966,0.0088927
77.148,0.0080909,0.010685,0.015781
78.125,0.0081663,0.0092724,0.015672
79.102,0.022761,0.031746,0.046478
80.078,0.024596,0.03435,0.050022
81.055,0.0097965,0.014605,0.02081
82.031,0.0047142,0.0053956,0.0068557
83.008,0.0031411,0.0026897,0.0054468
83.984,0.0037369,0.0054577,0.0065128
84.961,0.0026183,0.0034562,0.0054076
85.938,0.0013136,0.0022647,0.002961
86.914,0.00098761,0.0017387,0.0020252
87.891,0.001783,0.0025615,0.0027323
88.867,0.0015846,0.0035065,0.0041784
89.844,0.0011186,0.0021447,0.0019332
90.82,0.0008524,0.0028782,0.0014294
91.797,0.0013061,0.0011373,0.0024088
92.773,0.00083342,0.0011698,0.0025433
93.75,0.00059229,0.0014637,0.0006968
94.727,0.00048229,0.00032967,0.0010024
95.703,0.0003743,0.0020455,0.0015287
96.68,0.0013928,0.0040193,0.0027054
97.656,0.00087171,0.0016733,0.0013678
98.633,0.00064931,0.0006759,0.00024411
99.609,0.00014074,0.00036561,0.001115
100.59,0.00050575,0.0012253,0.0011161
101.56,0.00056917,0.0025972,0.0013773
102.54,0.00028672,0.00029779,0.00042428
103.52,0.00012813,0.0019213,0.0011883
104.49,0.00063134,0.0027112,0.0012991
105.47,0.00021806,0.0020157,0.0020659
106.45,0.0011796,0.00066359,0.00021692
107.42,0.0014201,0.0019278,0.0020543
108.4,0.0030509,0.0030076,0.0026812
109.38,0.0026416,0.0034139,0.0030689
110.35,0.0028041,0.0046325,0.0039588
111.33,0.0052615,0.0082934,0.0065813
112.3,0.024151,0.037365,0.031305
113.28,0.0028125,0.0051488,0.0036249
114.26,0.0037421,0.004571,0.003536
115.23,0.0011313,0.0048716,0.0010279
116.21,0.0010062,0.0021158,0.0007627
117.19,0.00055291,0.0034036,0.0014903
118.16,0.0013147,0.0015922,0.0013556
119.14,0.00093803,0.00060704,0.00089322
120.12,0.0003361,0.00043731,0.00048308
121.09,0.00087001,0.00085734,0.0011797
122.07,0.00094983,0.0018139,0.0023093
123.05,0.00051849,0.001026,0.00083992
124.02,0.0010275,0.0016626,0.00072116
125,0.0006663,0.0027669,0.00068933
125.98,0.00090412,0.0052657,0.002942
126.95,0.0018577,0.0068798,0.0019206
127.93,0.0010867,0.0035365,0.0011223
128.91,0.00094774,0.0011837,0.0012802
129.88,0.00062078,0.0014637,0.00054003
130.86,0.00087466,0.00067183,0.0004733
131.84,0.00062007,0.0020706,0.00039993
132.81,0.00066406,0.00092294,0.00038409
133.79,0.00023004,0.00027799,0.00046548
134.77,0.00042865,0.0021229,0.00055252
135.74,0.00075696,0.0021285,0.00025416
136.72,0.001125,0.0018887,0.0013221
137.7,0.00064793,0.00081644,0.00059658
138.67,0.00019704,0.0010002,0.0024498
139.65,0.0037992,0.0030211,0.00055795
140.63,0.0051931,0.0021835,0.00087748
141.6,0.0022893,0.0011843,0.0021377
142.58,0.0010764,0.00092616,0.0032628
143.55,6.633e-05,0.0012573,0.0014602
144.53,0.00099826,0.0025122,0.0056471
145.51,0.0016244,0.0025368,0.0046082
146.48,0.0013603,0.001212,0.0018109
147.46,0.0012051,0.0024389,0.0021075
148.44,0.00045828,0.0014664,0.0026621
149.41,0.00083395,0.0010157,0.0018759
150.39,0.0014125,0.0020844,0.0019249
151.37,0.00053119,0.0018027,0.0010722
152.34,0.00021941,0.0010875,0.00069995
153.32,0.00047846,0.0017472,0.00082378
154.3,0.00062366,0.0023467,0.0016375
155.27,0.00064061,0.0018876,0.0003435
156.25,0.00038626,0.002314,0.0003726
157.23,0.00036216,0.004107,0.00074454
158.2,0.00049776,0.0086584,0.0016285
159.18,0.00080966,0.017734,0.0013973
160.16,0.00018605,0.0049635,0.00048328
161.13,0.00065085,0.0028154,0.0011689
162.11,0.00039263,0.0013404,0.0009706
163.09,0.00049231,0.00080154,0.00040455
164.06,0.00037292,0.0010204,0.001035
165.04,0.00041226,0.00084456,0.00079324
166.02,0.00068778,0.00097762,0.0011202
166.99,0.00058464,0.0010815,0.00043831
167.97,0.00065578,0.00091257,0.00040002
168.95,0.0002726,0.00086397,0.00044895
169.92,0.0009609,0.0013916,0.00043905
170.9,0.0011696,0.0019952,0.00068446
171.88,0.0016614,0.001298,0.00044799
172.85,0.0026033,0.0017555,0.0020204
173.83,0.0023364,0.0016543,0.0012522
174.8,0.0013268,0.0021653,0.0011059
175.78,0.0010656,0.0014089,0.0018868
176.76,0.00024304,0.00045639,0.0010046
177.73,0.0011113,0.0056731,0.00082783
178.71,0.00033008,0.00093914,0.0013062
179.69,0.00032681,0.0021035,0.00089756
180.66,0.0020211,0.0038577,0.0024307
181.64,0.00070587,0.00064429,0.00064181
182.62,0.00034066,0.00043154,0.00071444
183.59,0.0010346,0.00065378,0.00051641
184.57,0.0011292,0.00052133,0.00082567
185.55,0.00069854,0.00046955,0.00069449
186.52,0.0037916,0.0031634,0.0012886
187.5,0.0036582,0.002296,0.0013101
188.48,0.0017746,0.0025797,0.00058666
189.45,0.00051972,0.0019141,0.00017169
190.43,0.00033652,0.0015252,0.00071043
191.41,0.00051102,0.0032059,0.0020897
192.38,0.00086276,0.0041194,0.0026636
193.36,0.0010577,0.0019706,0.0016207
194.34,0.00059692,0.0011282,0.0019893
195.31,0.00098719,0.0017811,0.00034724
196.29,0.00010329,0.00017232,0.0012107
197.27,0.00031462,0.0014595,0.0004539
198.24,0.0002687,0.0012102,0.00026477
199.22,9.5635e-05,7.5481e-05,0.00052078
200.2,7.2245e-05,0.00037182,0.00048823
201.17,0.00055082,0.0010058,0.0006562
202.15,0.00029873,0.00076072,0.00078214
203.13,0.00043794,0.00049168,0.00040074
204.1,5.7015e-05,0.00031015,0.00052502
205.08,0.00023549,0.0027619,0.0020354
206.05,0.00066428,0.0042434,0.002718
207.03,0.00028867,0.0015956,0.00055661
208.01,0.00076327,0.0015251,0.0012001
208.98,0.00038269,0.0012923,0.0011845
209.96,0.00042567,0.0002969,0.00030424
210.94,0.00042462,0.00068913,0.00081406
211.91,0.00029168,0.00056027,0.00012616
212.89,0.00030321,0.00043328,0.00047782
213.87,0.00057293,0.00052471,0.00083603
214.84,0.00033306,0.0011159,0.00076093
215.82,0.00041389,0.0016196,0.0008078
216.8,0.00020598,0.0011234,0.0011455
217.77,0.00064416,0.0013177,0.0015539
218.75,0.0015143,0.0010898,0.00071328
219.73,0.00057743,0.0023211,0.0010229
220.7,0.0017445,0.0017248,0.00015953
221.68,0.0016835,0.00062951,0.0011708
222.66,0.0023789,0.001452,0.0012473
223.63,0.0043532,0.00093974,0.0021349
224.61,0.0069242,0.00019736,0.0032142
225.59,0.0012986,0.00019356,0.0012786
226.56,0.0016309,0.00097569,0.001244
227.54,0.00075212,0.00063844,0.001882
228.52,0.00060947,0.000383,0.00060696
229.49,0.00035614,0.00062516,0.00045673
230.47,0.0011465,0.00035794,0.0010323
231.45,0.00071263,0.00012112,0.00054908
232.42,8.1999e-05,0.0012856,0.00044981
233.4,0.00023103,0.0012817,0.00048947
234.38,0.00054629,0.00027881,0.00041604
235.35,0.00083862,0.0016831,0.00028473
236.33,0.00096855,0.0027698,0.00063302
237.3,0.0010021,0.0037558,0.0011399
238.28,0.0017654,0.0031781,0.0010308
239.26,0.0012291,0.0036417,0.0011578
